WardCode,WardName
10101,Borno_Abadam_Arege
10102,Borno_Abadam_Banowa
10104,Borno_Abadam_Foguwa
10105,Borno_Abadam_Jabullam
10106,Borno_Abadam_Kessa'A
10107,Borno_Abadam_Kudokurgo
10108,Borno_Abadam_Yau
10109,Borno_Abadam_Yawa
10110,Borno_Abadam_Yitiwa
10201,Borno_Askira-Uba_Askira East
10202,Borno_Askira-Uba_Dille Huyim
10203,Borno_Askira-Uba_Hausari Zadawa
10204,Borno_Askira-Uba_Hausari Tampul
10209,Borno_Askira-Uba_Ngurthlavu Kopa
10206,Borno_Askira-Uba_Mussa
10207,Borno_Askira-Uba_Ngohi
10208,Borno_Askira-Uba_Ngulde
10210,Borno_Askira-Uba_Rumirgu Chul
10211,Borno_Askira-Uba_Uba
10212,Borno_Askira-Uba_Uvu Uda
10213,Borno_Askira-Uba_Wamdeo Giwi
10401,Borno_Bayo_Balbaya
10402,Borno_Bayo_Briyel
10403,Borno_Bayo_Fikayel
10404,Borno_Bayo_Gamad
10405,Borno_Bayo_Garad
10406,Borno_Bayo_Garag
10407,Borno_Bayo_Limanti
10408,Borno_Bayo_Telli
10409,Borno_Bayo_Wuyo
10410,Borno_Bayo_Zara
10501,Borno_Biu_Buratai
10502,Borno_Biu_Dugja
10503,Borno_Biu_Galdimare
10504,Borno_Biu_Garubula
10505,Borno_Biu_Gunda
10506,Borno_Biu_Gur
10507,Borno_Biu_Mandaragirau
10508,Borno_Biu_Miringa
10509,Borno_Biu_Sulumthla
10510,Borno_Biu_Yawi
10511,Borno_Biu_Zarawuyaku
10601,Borno_Chibok_Garu
10602,Borno_Chibok_Gatamarwa
10603,Borno_Chibok_Kautikari
10710,Borno_Damboa_Gumsuri
10605,Borno_Chibok_Korongilum
10606,Borno_Chibok_Likama
10607,Borno_Chibok_Mbalala
10609,Borno_Chibok_Pemi
10610,Borno_Chibok_Shirarkir
10611,Borno_Chibok_Whuntaku
11001,Borno_Guzamala_Aduwa
11002,Borno_Guzamala_Gudumbali West
11003,Borno_Guzamala_Guzamala East
11004,Borno_Guzamala_Guzamala West
11005,Borno_Guzamala_Kingarawa
11006,Borno_Guzamala_Mairari
11008,Borno_Guzamala_Wamiri
11009,Borno_Guzamala_Moduri
11010,Borno_Guzamala_Gudumbali East
11101,Borno_Gwoza_Ashigashiya
11102,Borno_Gwoza_Bita Izge
11103,Borno_Gwoza_Bulabulin
11104,Borno_Gwoza_Chikide
11105,Borno_Gwoza_Gava Agapalawa
11106,Borno_Gwoza_Guduf A&B
11107,Borno_Gwoza_Hambagda
11108,Borno_Gwoza_Hausari
10313,Borno_Bama_Yabiri
11110,Borno_Gwoza_Kuranabasa
11111,Borno_Gwoza_Ngoshe
11112,Borno_Gwoza_Pulka Bokko
11113,Borno_Gwoza_Wala Warabe
11201,Borno_Hawul_Bilingwi
11202,Borno_Hawul_Grim Damchoba
11203,Borno_Hawul_Gwangang Chata
11204,Borno_Hawul_Hizhibwala
11205,Borno_Hawul_Kidda
11206,Borno_Hawul_Kwajaffa
11207,Borno_Hawul_Kwayabura
11208,Borno_Hawul_Marama Kidang
11209,Borno_Hawul_Pama Whitambaya
11210,Borno_Hawul_Puba Vidau
11211,Borno_Hawul_Sakwa Hema
11212,Borno_Hawul_Shaffa
11301,Borno_Jere_Galtimari B
11302,Borno_Jere_Alau
11304,Borno_Jere_Tuba
11307,Borno_Jere_Dusuma
11308,Borno_Jere_Khadammari
11309,Borno_Jere_Mairi
11310,Borno_Jere_Gongulong
11311,Borno_Jere_Old Maiduguri
11312,Borno_Jere_Dala
11401,Borno_Kaga_Benisheikh
